tick,argus_fairness,cfs_fairness,rr_fairness,argus_min_share,cfs_min_share,rr_min_share,lyapunov_V
1,0.7027041095177369,0.6935635792778652,0.9999999999999998,0.05,0.0425531914893617,0.2,0.21004741060504067
2,0.7423857823213946,0.6935635792778652,0.9999999999999998,0.05,0.0425531914893617,0.2,0.18014692187804127
3,0.7808226056646189,0.6935635792778652,0.9999999999999998,0.05565960962733297,0.0425531914893617,0.2,0.14939578909900536
4,0.8141545432434915,0.6935635792778652,0.9999999999999998,0.06266888490130218,0.0425531914893617,0.2,0.1233800266594765
5,0.8421982216671788,0.6935635792778652,0.9999999999999998,0.06985028080661046,0.0425531914893617,0.2,0.1023018473121466
6,0.865988471895009,0.6935635792778652,0.9999999999999998,0.07716102790928935,0.0425531914893617,0.2,0.08498768975811412
7,0.8863104608374218,0.6935635792778652,0.9999999999999998,0.08454903657123213,0.0425531914893617,0.2,0.0706232335986496
8,0.9037559586962781,0.6935635792778652,0.9999999999999998,0.09195588152584887,0.0425531914893617,0.2,0.05862675329344749
9,0.9187738195665798,0.6935635792778652,0.9999999999999998,0.09931988999618913,0.0425531914893617,0.2,0.048569738241960744
10,0.9317101793865281,0.6935635792778652,0.9999999999999998,0.1065791692420291,0.0425531914893617,0.2,0.04012637548640276
11,0.9428389567387099,0.6935635792778652,0.9999999999999998,0.11367440415734059,0.0425531914893617,0.2,0.033040943434227754
12,0.9523842311634779,0.6935635792778652,0.9999999999999998,0.12055126225995307,0.0425531914893617,0.2,0.027106601312094462
13,0.96053603049007,0.6935635792778652,0.9999999999999998,0.127162277105388,0.0425531914893617,0.2,0.02215158836377403
14,0.9674608868031014,0.6935635792778652,0.9999999999999998,0.13346813566855875,0.0425531914893617,0.2,0.018030291073993357
15,0.9733083906674582,0.6935635792778652,0.9999999999999998,0.13943835749004352,0.0425531914893617,0.2,0.014617491969027903
16,0.9782148586594068,0.6935635792778652,0.9999999999999998,0.14505141048328418,0.0425531914893617,0.2,0.011804653136183438
17,0.9823050884583293,0.6935635792778652,0.9999999999999998,0.15029435117439677,0.0425531914893617,0.2,0.00949745282775541
18,0.9856929975391049,0.6935635792778652,0.9999999999999998,0.15516210176175657,0.0425531914893617,0.2,0.007614053757105055
19,0.9884817413860887,0.6935635792778652,0.9999999999999998,0.1596564832149616,0.0425531914893617,0.2,0.006083770461254627
20,0.9907637110751681,0.6935635792778652,0.9999999999999998,0.16378511619524874,0.0425531914893617,0.2,0.004845937945336533
21,0.9926206407555375,0.6935635792778652,0.9999999999999998,0.1675602847329033,0.0425531914893617,0.2,0.003848876178431545
22,0.9941239258529658,0.6935635792778652,0.9999999999999998,0.1709978361640605,0.0425531914893617,0.2,0.003048904252979129
23,0.9953351651827381,0.6935635792778652,0.9999999999999998,0.17411616873320154,0.0425531914893617,0.2,0.002409392581112158
24,0.9963068895930667,0.6935635792778652,0.9999999999999998,0.17693533818926682,0.0425531914893617,0.2,0.0018998588145840364
25,0.9970834175259389,0.6935635792778652,0.9999999999999998,0.17947629811356255,0.0425531914893617,0.2,0.0014951193835883968
26,0.9977017746226114,0.6935635792778652,0.9999999999999998,0.18176027611875947,0.0425531914893617,0.2,0.0011745083493284007
27,0.9981926221236157,0.6935635792778652,0.9999999999999998,0.18380827929232316,0.0425531914893617,0.2,0.0009211719583322921
28,0.998581151280519,0.6935635792778652,0.9999999999999998,0.18564071679247088,0.0425531914893617,0.2,0.0007214429917181339
29,0.9988879143545636,0.6935635792778652,0.9999999999999998,0.1872771246549526,0.0425531914893617,0.2,0.0005642949305471028
30,0.9991295747928995,0.6935635792778652,0.9999999999999998,0.18873597694385408,0.0425531914893617,0.2,0.0004408726859458142
31,0.9993195688513956,0.6935635792778652,0.9999999999999998,0.1900345677666659,0.0425531914893617,0.2,0.000344094344951933
32,0.9994686780649981,0.6935635792778652,0.9999999999999998,0.1911889498750422,0.0425531914893617,0.2,0.0002683170082014366
33,0.9995855167778045,0.6935635792778652,0.9999999999999998,0.19221391721026346,0.0425531914893617,0.2,0.00020905918510766373
34,0.9996769418522609,0.6935635792778652,0.9999999999999998,0.19312302055759742,0.0425531914893617,0.2,0.00016277217544291393
35,0.9997483931394207,0.6935635792778652,0.9999999999999998,0.19392860726768446,0.0425531914893617,0.2,0.00012665322223658244
36,0.9998041737314723,0.6935635792778652,0.9999999999999998,0.19464187767638505,0.0425531914893617,0.2,9.84938175460845e-05
37,0.9998476787825343,0.6935635792778652,0.9999999999999998,0.19527295234849532,0.0425531914893617,0.2,7.655726256508566e-05
38,0.999881581042739,0.6935635792778652,0.9999999999999998,0.1958309455615911,0.0425531914893617,0.2,5.948034235471553e-05
39,0.9999079803987442,0.6935635792778652,0.9999999999999998,0.19632404153292066,0.0425531914893617,0.2,4.619471686068306e-05
40,0.9999285237847765,0.6935635792778652,0.9999999999999998,0.19675957078729892,0.0425531914893617,0.2,3.586431935005555e-05
41,0.9999445009083084,0.6935635792778652,0.9999999999999998,0.1971440847871679,0.0425531914893617,0.2,2.783567263958805e-05
42,0.9999569203746996,0.6935635792778652,0.9999999999999998,0.19748342752015421,0.0425531914893617,0.2,2.1598575391738005e-05
43,0.9999665700224202,0.6935635792778652,0.9999999999999998,0.19778280318757985,0.0425531914893617,0.2,1.675507554232741e-05
44,0.9999740646051287,0.6935635792778652,0.9999999999999998,0.19804683948109353,0.0425531914893617,0.2,1.2995040250126603e-05
45,0.9999798833789914,0.6935635792778652,0.9999999999999998,0.19827964619331093,0.0425531914893617,0.2,1.0076958680923197e-05
46,0.9999843996671758,0.6935635792778652,0.9999999999999998,0.19848486909894034,0.0425531914893617,0.2,7.812883470333836e-06
47,0.9999879040692686,0.6935635792778652,0.9999999999999998,0.19866573917962177,0.0425531914893617,0.2,6.056636971871025e-06
48,0.9999906226511014,0.6935635792778652,0.9999999999999998,0.19882511736048855,0.0425531914893617,0.2,4.694587066401534e-06
49,0.9999927311796644,0.6935635792778652,0.9999999999999998,0.19896553498897715,0.0425531914893617,0.2,3.6384413407517403e-06
50,0.9999943662486968,0.6935635792778652,0.9999999999999998,0.19908923032448048,0.0425531914893617,0.2,2.8196239133360763e-06
